channel_id,tier,wd_item,wd_class,label,country,reason,alt_of
UC4DGZQHLsQRK3v8lKTGu_Uw,0,Q7951102,television station,WJCL News,United States,newsguard_validated,
UC4HQkyqSlym3Ii-RqrDWsFA,0,,,WTRF,US,newsguard_validated,
UC4IDNf0IQu0C0lZvdwIOi0g,0,,,ELLE Nederland,NL,newsguard_validated,
UC4Im5_KZz7ViKD3ecmDJUkw,0,,,The Yorkshire Post,GB,newsguard_validated,
UC4JVxN39Y1vCOp8tQ8EbUSg,0,,,Anchorage Daily News,,newsguard_validated,
UC4KA3qEEEM7lj7I9NCWgOAQ,0,,,GQ Australia,AU,newsguard_validated,
UC4KiM--TtJujIXnFfl4ldPQ,0,,,TheHutchinsonNews,US,newsguard_validated,
UC4LADtN8xwppFydHUB1s5uA,0,Q333644,magazine|mass media,Cosmopolitan,US,newsguard_validated,
UC4LWNegp6rg21PMebmbmrOw,0,Q6330127,television station,NTV News,US,newsguard_validated,
UC4LtLbQFqaCDSEQAMuwC2dw,0,Q3522349,newspaper,The Providence Journal,United States,newsguard_validated,
UC4OjPndAMD8SvX01Kvlhnrg,0,,,The Good Lord,US,newsguard_validated,
UC4OqEJz6oABzz_7nu29zF3A,0,,,FOX 26 Houston,US,newsguard_validated,
UC4OvD2yIbofl9l4dIlqSNMw,0,Q310953,journalist|news presenter|podcaster,Bill O'Reilly,US,newsguard_validated,
UC4PDH_CilPOJnTJkKPaIvow,0,,,EMMAmagazin,DE,newsguard_validated,
UC4PDM-nQDVEw9lUhLY7KGYw,0,,,News 4 San Antonio,,newsguard_validated,
UC4SUWizzKc1tptprBkWjX2Q,0,Q1198574,mass media|news media|news website|newspaper|online newspaper,South China Morning Post,HK,newsguard_validated,
UC4WdIJ_D_lJb87uE3JV5SgQ,0,Q7276343,magazine|mass media,RELEVANT,US,newsguard_validated,
UC4Xi9zt3WlBv4iC0ysBgQ8A,0,,,Forum Communications Company,US,newsguard_validated,
UC4Y2V22Eh5Kich7YjvXd0zA,0,,,,,newsguard_validated,
UC4ZyUot7ROY6H1kV8_J__kQ,0,,,Mount Sinai Health System,US,newsguard_validated,
UC4_Q5kMwvsazSgaQiD0kH4Q,0,,,VRR,US,newsguard_validated,
UC4_jIK399r0Mz3Fr9_gBHPw,0,,,International Reporters (français),,newsguard_validated,
UC4aWK7nhEyAkpP5-8YRdvJA,0,,,WCIA News,US,newsguard_validated,
UC4abf1syFz5KZ6w3vRMRHoQ,0,,,KTAR News,US,newsguard_validated,
UC4acoSSPL4J9Z44BFIfZdMA,0,,,Elbareport,,newsguard_validated,
UC4baT4rM-36f4COke65iHTg,0,,,HelpGuide,US,newsguard_validated,
UC4ck4ta1A3eCyBmJGY1UVrw,0,,,Ed Dean Radio - Florida News and Politics,,newsguard_validated,
UC4f8Y1kvqGJ9oLXFVQ3M-UQ,0,,,Cornwall Live,GB,newsguard_validated,
UC4gRpwxvLLvPZ5rRMxeGDLw,0,,,TheMemphisFlyer,US,newsguard_validated,
UC4jz6K_fJiqG4XrnrcuQCNw,0,,,Midland Daily News,,newsguard_validated,
UC4kACRYsvvMHT1QG6LoAwCQ,0,,,Milano Città Stato,IT,newsguard_validated,
UC4lFjHsG5xMQxPs_b6Z49oA,0,,,InsideOver,IT,newsguard_validated,
